indexname,indexdef
organizations_pkey,CREATE UNIQUE INDEX organizations_pkey ON public.organizations USING btree (id)
password_reset_tokens_pkey,CREATE UNIQUE INDEX password_reset_tokens_pkey ON public.password_reset_tokens USING btree (id)
payment_intents_pkey,CREATE UNIQUE INDEX payment_intents_pkey ON public.payment_intents USING btree (id)
payment_settlements_pkey,CREATE UNIQUE INDEX payment_settlements_pkey ON public.payment_settlements USING btree (id)
sanctions_list_pkey,CREATE UNIQUE INDEX sanctions_list_pkey ON public.sanctions_list USING btree (id)
transaction_logs_pkey,CREATE UNIQUE INDEX transaction_logs_pkey ON public.transaction_logs USING btree (id)
uq_invoices_owner_period,"CREATE UNIQUE INDEX uq_invoices_owner_period ON public.invoices USING btree (owner_address, period_start, period_end)"
uq_known_devices_user_fp,"CREATE UNIQUE INDEX uq_known_devices_user_fp ON public.known_devices USING btree (user_id, fingerprint)"
uq_memberships_user_org,"CREATE UNIQUE INDEX uq_memberships_user_org ON public.memberships USING btree (user_id, org_id)"
uq_settlement_onchain_log,"CREATE UNIQUE INDEX uq_settlement_onchain_log ON public.payment_settlements USING btree (chain_id, tx_hash, log_index)"
uq_user_contact_address,"CREATE UNIQUE INDEX uq_user_contact_address ON public.user_contacts USING btree (user_id, address)"
uq_user_tx_hash,"CREATE UNIQUE INDEX uq_user_tx_hash ON public.user_transactions USING btree (user_id, chain_id, tx_hash)"
uq_users_email_lower,CREATE UNIQUE INDEX uq_users_email_lower ON public.users USING btree (lower(email))
user_api_keys_key_hash_key,CREATE UNIQUE INDEX user_api_keys_key_hash_key ON public.user_api_keys USING btree (key_hash)
user_api_keys_pkey,CREATE UNIQUE INDEX user_api_keys_pkey ON public.user_api_keys USING btree (id)
user_contacts_pkey,CREATE UNIQUE INDEX user_contacts_pkey ON public.user_contacts USING btree (id)
user_routes_pkey,CREATE UNIQUE INDEX user_routes_pkey ON public.user_routes USING btree (id)
user_sessions_pkey,CREATE UNIQUE INDEX user_sessions_pkey ON public.user_sessions USING btree (id)
user_sessions_session_id_key,CREATE UNIQUE INDEX user_sessions_session_id_key ON public.user_sessions USING btree (session_id)
user_transactions_pkey,CREATE UNIQUE INDEX user_transactions_pkey ON public.user_transactions USING btree (id)
user_wallets_pkey,CREATE UNIQUE INDEX user_wallets_pkey ON public.user_wallets USING btree (id)
users_pkey,CREATE UNIQUE INDEX users_pkey ON public.users USING btree (id)
webhook_deliveries_idempotency_key_key,CREATE UNIQUE INDEX webhook_deliveries_idempotency_key_key ON public.webhook_deliveries USING btree (idempotency_key)
webhook_deliveries_pkey,CREATE UNIQUE INDEX webhook_deliveries_pkey ON public.webhook_deliveries USING btree (id)
